,Unnamed: 0,USER,AGENT,Persuasion Strategy,User Sentiment (-1 to 1),Persona Detail,Task Info,Domain Info,INTENT,Agent Dialouge Act,Slot-Value,Value,B-I-O Tag,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,0,1,1,,,,,,,,n,,,,,,,,,,,,,,,,
1,1,Hello and good morning. Could you kindly assist me in purchasing a laptop?,Hello and good morning. I am here to help you. Do you have any specification requirements?,0,0,,"Laptop, Phone",Electornics,LaptopSelReq,TaskSpecificationReq,n,,O O O O O O O O O O O O O,,,,,,,,,,,,,,
2,2,I'm looking for a cheap i7 cpu.,Do you have any brand preferences?,0,0,,"Laptop, Phone",Electornics,Inform,BrandReq,Processor-i7,i7,O O O O O B-Processor O,,,,,,,,,,,,,,
3,3,I used a HP laptop earlier. It was quite nice.,How much are you willing to spend?,0,1,,"Laptop, Phone",Electornics,Feedback,BudgetReq,Brand-HP,HP,O O O B-Brand O O O O O O,,,,,,,,,,,,,,
4,4,I am just a normal user. I would not spend more than 2400.,"I have a HP laptop that matches your requirement. It is HP 15-da0035nx, which costs 2299.",4,0,,"Laptop, Phone",Electornics,Inform,Recommend,Cost-2400,2400,O O O O O O O O O O O O B-Cost,,,,,,,,,,,,,,
5,5,Is this a good laptop for daily use?,"Yes, indeed. It has a 3/5 score, which is excellent.",4,0,,"Laptop, Phone",Electornics,FeedbackReq,Inform,n,,O O O O O O O O,,,,,,,,,,,,,,
6,6,Please describe the features to me.,"It is equipped with an Intel Core i7-8550U cpu, Intel UHD Graphics 620 graphics, and a 1TB hard drive.",4,0,,"Laptop, Phone",Electornics,Request,Inform,Feature-,UNK,O O O B-Feature O O,,,,,,,,,,,,,,
7,7,I don't think 620 graphics would perform well.,I have sold many laptops with Intel UHD Graphics 620 graphics. I have not received any complain regarding this GPU.,4,-1,,"Laptop, Phone",Electornics,Feedback,PersonalAppeal,GPU-620 graphics,620 graphics,O O O B-GPU O O O O,,,,,,,,,,,,,,
8,8,I still doubt it will work for me or not.,You can take this laptop with you. I assure you will not be dissapointed.,4,-1,,"Laptop, Phone",Electornics,Feedback,PersonalAppeal,n,,O O O O O O O O O O,,,,,,,,,,,,,,
9,9,"Okay, I am trusting you. I would like to buy it.",Sure. Your booking has been placed. Is there anything else I can assist you with?,4,1,,"Laptop, Phone",Electornics,BookingReq,Booking,n,,O O O O O O O O O O O,,,,,,,,,,,,,,
10,10,I want to buy a smartphone too?,"Yes, I have wide variety of smartphone with us. Could you please tell me your requirements?",4,0,,"Laptop, Phone",Electornics,PhoneSelReq,TaskSpecificationReq,n,,O O O O O O O,,,,,,,,,,,,,,
11,11,I want something like this. https://m.media-amazon.com/images/I/81pVQueeahL._AC_SY550_.jpg,It seems to be a BlackBerry phone. I have a model named Aurora which is a Blackberry smartphone.,4,0,,"Laptop, Phone",Electornics,Inform,Recommend,n,,O O O O O O,,,,,,,,,,,,,,
12,12,Please describe the features to me.,"It comes with a 3000mAh battery, 4 GB RAM, a 13-megapixel main camera, and an 8-megapixel secondary camera.",4,0,,"Laptop, Phone",Electornics,Request,Inform,Feature-,UNK,O O O B-Feature O O,,,,,,,,,,,,,,
13,13,Is it in black color? Because I like black.,"Yes, it comes in black color.",4,0,,"Laptop, Phone",Electornics,Request,ColorReq,Colour-BLACK,BLACK,O O O B-Colour O O O O B-Colour,,,,,,,,,,,,,,
14,14,What about the cost ?,It will cost you 250 EUR.,4,0,,"Laptop, Phone",Electornics,Request,Inform,Cost-,UNK,O O O B-Cost,,,,,,,,,,,,,,
